m,3m,6m,ytd,y,yy,category
1.63000,2.74000,7.00000,2.74000,17.81000,12.20000,Global Small/Mid Cap Equity
-0.33000,2.22000,13.28000,2.22000,23.68000,9.92000,U.S. Equity
-2.84000,0.08000,8.05000,0.08000,16.54000,6.28000,U.S. Equity
0.65000,1.05000,5.83000,1.05000,12.87000,7.27000,Canadian Dividend & Income Equity
-0.72000,0.68000,6.31000,0.68000,25.09000,6.52000,Canadian Focused Small/Mid Cap Equity
0.72000,2.51000,2.44000,2.51000,7.12000,2.14000,Tactical Balanced
-1.31000,2.00000,11.07000,2.00000,18.13000,9.72000,U.S. Equity
0.80000,2.11000,4.07000,2.11000,10.91000,2.98000,Global Equity Balanced
1.47000,6.57000,10.57000,6.57000,20.92000,7.95000,U.S. Equity
0.62000,1.74000,2.27000,1.74000,6.78000,2.13000,Global Neutral Balanced
0.64000,1.79000,2.38000,1.79000,7.01000,2.35000,Global Neutral Balanced
0.40000,1.20000,3.87000,1.20000,10.79000,2.11000,Canadian Neutral Balanced
0.19000,2.16000,5.71000,2.16000,10.01000,3.69000,Canadian Equity Balanced
0.21000,2.22000,5.83000,2.22000,10.25000,3.91000,Canadian Equity Balanced
-0.31000,1.27000,0.48000,1.27000,6.26000,1.09000,Tactical Balanced
1.15000,1.04000,5.58000,1.04000,14.66000,3.79000,Canadian Equity
1.18000,1.13000,5.78000,1.13000,15.10000,4.19000,Canadian Equity
1.16000,1.13000,4.04000,1.13000,11.08000,-1.93000,Canadian Equity
-2.31000,-7.19000,-0.45000,-7.19000,25.60000,3.79000,Natural Resources Equity
-2.26000,-7.05000,-0.16000,-7.05000,26.35000,4.41000,Natural Resources Equity
0.41000,2.07000,0.87000,2.07000,7.07000,1.31000,Canadian Equity Balanced
0.82000,1.93000,1.95000,1.93000,4.03000,3.59000,Global Small/Mid Cap Equity
0.87000,2.07000,2.23000,2.07000,4.59000,4.16000,Global Small/Mid Cap Equity
0.75000,0.31000,1.92000,0.31000,7.42000,1.35000,Canadian Equity
0.26000,0.97000,-0.84000,0.97000,2.65000,0.81000,Canadian Fixed Income Balanced
0.25000,0.94000,-0.90000,0.94000,2.54000,0.70000,Canadian Fixed Income Balanced
1.26000,4.50000,5.97000,4.50000,12.03000,3.86000,Global Equity Balanced
0.66000,5.80000,7.77000,5.80000,10.22000,4.86000,Global Equity
1.02000,3.50000,1.16000,3.50000,9.62000,3.66000,High Yield Fixed Income
-0.30000,2.21000,3.51000,2.21000,13.82000,3.41000,High Yield Fixed Income
0.48000,1.51000,0.54000,1.51000,4.48000,1.04000,Canadian Fixed Income Balanced
5.98000,16.44000,10.34000,16.44000,22.02000,5.54000,Geographic Equity
0.85000,2.45000,2.13000,2.45000,5.93000,2.32000,2025 Target Date Portfolio
0.98000,2.76000,-2.54000,2.76000,5.85000,1.74000,Canadian Long Term Fixed Income
0.20000,2.07000,-0.09000,2.07000,4.12000,2.57000,Canadian Fixed Income
0.01000,0.03000,0.05000,0.03000,0.10000,0.10000,Canadian Money Market
1.17000,3.08000,2.44000,3.08000,7.07000,3.73000,Canadian Neutral Balanced
2.43000,5.06000,11.64000,5.06000,19.10000,2.53000,International Equity
1.99000,11.80000,11.57000,11.80000,22.06000,12.54000,U.S. Equity
-1.50000,-2.72000,-4.29000,-2.72000,24.19000,8.29000,Natural Resources Equity
1.33000,2.40000,7.03000,2.40000,18.56000,5.25000,Canadian Equity
-0.13000,-7.59000,-1.71000,-7.59000,14.11000,-0.81000,Energy Equity
1.19000,3.22000,3.48000,3.22000,7.98000,2.32000,Global Neutral Balanced
1.49000,3.71000,5.05000,3.71000,9.94000,3.30000,Global Equity Balanced
0.53000,1.58000,0.19000,1.58000,3.74000,0.53000,Global Fixed Income Balanced
0.06000,0.34000,-0.47000,0.34000,0.06000,0.42000,Canadian Short Term Fixed Income
-0.55000,2.30000,2.87000,2.30000,7.08000,3.28000,Global Neutral Balanced
-0.17000,4.70000,12.79000,4.70000,17.30000,7.02000,U.S. Equity
-0.01000,0.27000,-4.65000,0.27000,-1.79000,1.58000,Global Fixed Income
1.18000,3.41000,10.81000,3.41000,16.83000,3.65000,Global Equity
2.35000,3.88000,8.18000,3.88000,13.21000,2.45000,International Equity
-0.62000,-2.01000,10.58000,-2.01000,21.88000,12.34000,U.S. Small/Mid Cap Equity
-2.75000,0.08000,8.09000,0.08000,16.88000,6.46000,U.S. Equity
-0.36000,1.25000,5.29000,1.25000,17.67000,6.47000,Canadian Focused Equity
-0.16000,3.48000,8.81000,3.48000,21.90000,5.08000,Global Equity
0.27000,-2.09000,2.18000,-2.09000,19.01000,2.32000,Canadian Small/Mid Cap Equity
0.77000,2.04000,3.93000,2.04000,10.60000,2.70000,Global Equity Balanced
1.44000,6.49000,10.39000,6.49000,20.52000,7.60000,U.S. Equity
1.48000,6.62000,10.66000,6.62000,21.12000,8.13000,U.S. Equity
0.63000,1.78000,2.35000,1.78000,6.95000,2.30000,Global Neutral Balanced
0.39000,1.16000,3.78000,1.16000,10.61000,1.95000,Canadian Neutral Balanced
0.41000,1.22000,3.90000,1.22000,10.86000,2.17000,Canadian Neutral Balanced
0.20000,2.20000,5.80000,2.20000,10.19000,3.86000,Canadian Equity Balanced
-0.29000,1.32000,0.59000,1.32000,6.50000,1.31000,Tactical Balanced
-0.29000,1.31000,0.57000,1.31000,6.44000,1.26000,Tactical Balanced
1.17000,1.09000,5.70000,1.09000,14.91000,4.01000,Canadian Equity
1.13000,1.05000,3.87000,1.05000,10.72000,-2.25000,Canadian Equity
1.17000,1.16000,4.10000,1.16000,11.20000,-1.82000,Canadian Equity
-2.28000,-7.10000,-0.26000,-7.10000,26.08000,4.19000,Natural Resources Equity
0.41000,2.07000,0.87000,2.07000,7.07000,1.31000,Canadian Equity Balanced
0.38000,1.99000,0.72000,1.99000,6.75000,1.01000,Canadian Equity Balanced
0.85000,2.01000,2.12000,2.01000,4.37000,3.93000,Global Small/Mid Cap Equity
0.72000,0.24000,1.78000,0.24000,7.12000,1.07000,Canadian Equity
0.76000,0.35000,2.00000,0.35000,7.59000,1.52000,Canadian Equity
0.27000,0.98000,-0.82000,0.98000,2.71000,0.86000,Canadian Fixed Income Balanced
0.21000,0.66000,-3.07000,0.66000,-0.25000,-0.99000,Canadian Fixed Income
0.21000,0.68000,-3.05000,0.68000,-0.19000,-0.94000,Canadian Fixed Income
0.51000,0.79000,8.90000,0.79000,14.66000,6.40000,Canadian Dividend & Income Equity
0.56000,0.92000,9.18000,0.92000,15.26000,6.96000,Canadian Dividend & Income Equity
1.21000,5.05000,4.52000,5.05000,12.79000,7.19000,Global Equity
1.51000,5.37000,7.90000,5.37000,15.41000,7.01000,Global Equity
1.55000,5.49000,8.14000,5.49000,15.92000,7.48000,Global Equity
0.30000,0.50000,-5.73000,0.50000,-1.83000,1.81000,Global Fixed Income
0.72000,1.63000,2.14000,1.63000,7.15000,0.65000,Canadian Neutral Balanced
0.73000,1.65000,2.19000,1.65000,7.27000,0.76000,Canadian Neutral Balanced
0.41000,1.35000,0.38000,1.35000,4.38000,1.49000,Canadian Fixed Income Balanced
0.35000,0.20000,0.94000,0.20000,2.31000,1.98000,Miscellaneous - Income and Real Property
-1.94000,-0.33000,9.35000,-0.33000,12.51000,2.96000,U.S. Equity
-1.90000,-0.22000,9.58000,-0.22000,13.00000,3.41000,U.S. Equity
0.80000,2.11000,4.07000,2.11000,10.91000,2.98000,Global Equity Balanced
1.48000,6.62000,10.66000,6.62000,21.12000,8.13000,U.S. Equity
0.64000,1.79000,2.38000,1.79000,7.01000,2.35000,Global Neutral Balanced
0.41000,1.22000,3.90000,1.22000,10.86000,2.17000,Canadian Neutral Balanced
0.21000,2.22000,5.83000,2.22000,10.25000,3.91000,Canadian Equity Balanced
-0.29000,1.32000,0.60000,1.32000,6.50000,1.31000,Tactical Balanced
1.18000,1.13000,5.78000,1.13000,15.10000,4.19000,Canadian Equity
1.16000,1.13000,4.04000,1.13000,11.08000,-1.93000,Canadian Equity
-2.30000,-7.15000,-0.37000,-7.15000,25.81000,3.96000,Natural Resources Equity
0.26000,0.97000,-0.84000,0.97000,2.65000,0.81000,Canadian Fixed Income Balanced
0.19000,0.61000,-3.18000,0.61000,-0.47000,-1.21000,Canadian Fixed Income
0.55000,0.91000,9.17000,0.91000,15.23000,6.93000,Canadian Dividend & Income Equity
0.41000,2.06000,0.86000,2.06000,7.04000,1.28000,Canadian Equity Balanced
0.19000,0.61000,-3.18000,0.61000,-0.47000,-1.21000,Canadian Fixed Income
1.17000,4.95000,4.32000,4.95000,12.36000,6.77000,Global Equity
1.52000,5.42000,7.99000,5.42000,15.60000,7.18000,Global Equity
1.55000,5.49000,8.14000,5.49000,15.92000,7.48000,Global Equity
0.30000,0.50000,-5.73000,0.50000,-1.83000,1.81000,Global Fixed Income
0.72000,1.64000,2.17000,1.64000,7.21000,0.70000,Canadian Neutral Balanced
0.73000,1.65000,2.19000,1.65000,7.27000,0.76000,Canadian Neutral Balanced
